Software Version,2.09.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Path:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protocol File Path:,C:\Users\lolalab\Desktop\Adam K- Lin\180417 ECPP time point.prt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,10/24/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,8:33:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reader Type:,Synergy H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reader Serial Number:,1606211F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate Type,Greiner 96 Black Flat Bottom Fluotrac (Use plate lid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Set Temperature,Setpoint 34°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Preheat before moving to next step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Kinetic,"Runtime 24:00:00 (HH:MM:SS), Interval 0:10:00, 145 Reads",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Shake,Double Orbital: Continuous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Frequency: 282 cpm (3 mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Read,Absorbance Endpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B1..B12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wavelengths:  600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Read,Fluorescence Endpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B1..B12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Filter Set 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"    Excitation: 510,  Emission: 540",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"    Optics: Top,  Gain: 100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Filter Set 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"    Excitation: 585,  Emission: 615",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"    Optics: Top,  Gain: 100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Light Source: Xenon Flash,  Lamp Energy: High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Read Height: 7 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Kinetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Layout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,,,,,,,,,,,,,,,,,,
,A,SPL1,SPL4,SPL7,SPL10,SPL13,SPL16,SPL19,SPL22,SPL25,SPL28,SPL31,SPL34,Well ID,,,,,,,,,,,,,,,,,,,,,,,,
,B,SPL2,SPL5,SPL8,SPL11,SPL14,SPL17,SPL20,SPL23,SPL26,SPL29,SPL32,SPL35,Well ID,,,,,,,,,,,,,,,,,,,,,,,,
,C,SPL3,SPL6,SPL9,SPL12,SPL15,SPL18,SPL21,SPL24,SPL27,SPL30,SPL33,SPL36,Well ID,,,,,,,,,,,,,,,,,,,,,,,,
,D,,,,,,,,,,,,,Well ID,,,,,,,,,,,,,,,,,,,,,,,,
,E,,,,,,,,,,,,,Well ID,,,,,,,,,,,,,,,,,,,,,,,,
,F,,,,,,,,,,,,,Well ID,,,,,,,,,,,,,,,,,,,,,,,,
,G,,,,,,,,,,,,,Well ID,,,,,,,,,,,,,,,,,,,,,,,,
,H,,,,,,,,,,,,,Well ID,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Read 1:600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Time,T° Read 1:600,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
,0:09:31,34,,,,,,,,,,,,,0.084,0.088,0.087,0.087,0.087,0.088,0.088,0.086,0.087,0.086,0.084,0.089,,,,,,,,,,,,
,0:19:31,34,,,,,,,,,,,,,0.084,0.088,0.087,0.087,0.087,0.087,0.087,0.086,0.086,0.086,0.084,0.089,,,,,,,,,,,,
,0:29:31,34,,,,,,,,,,,,,0.084,0.089,0.087,0.087,0.087,0.087,0.087,0.086,0.086,0.086,0.084,0.089,,,,,,,,,,,,
,0:39:31,34,,,,,,,,,,,,,0.084,0.089,0.088,0.088,0.087,0.088,0.087,0.086,0.086,0.086,0.084,0.089,,,,,,,,,,,,
,0:49:31,34,,,,,,,,,,,,,0.084,0.09,0.088,0.088,0.088,0.088,0.087,0.086,0.086,0.086,0.084,0.089,,,,,,,,,,,,
,0:59:31,34,,,,,,,,,,,,,0.084,0.091,0.088,0.089,0.088,0.088,0.088,0.086,0.086,0.086,0.084,0.089,,,,,,,,,,,,
,1:09:31,34,,,,,,,,,,,,,0.084,0.092,0.089,0.089,0.088,0.088,0.088,0.086,0.085,0.086,0.084,0.089,,,,,,,,,,,,
,1:19:31,34,,,,,,,,,,,,,0.084,0.092,0.089,0.09,0.089,0.089,0.089,0.086,0.086,0.086,0.084,0.089,,,,,,,,,,,,
,1:29:31,34,,,,,,,,,,,,,0.084,0.093,0.09,0.091,0.089,0.09,0.089,0.087,0.086,0.086,0.084,0.089,,,,,,,,,,,,
,1:39:31,34,,,,,,,,,,,,,0.084,0.093,0.091,0.091,0.089,0.092,0.09,0.089,0.087,0.087,0.084,0.089,,,,,,,,,,,,
,1:49:31,34,,,,,,,,,,,,,0.084,0.095,0.091,0.093,0.091,0.092,0.091,0.087,0.087,0.088,0.084,0.089,,,,,,,,,,,,
,1:59:31,34,,,,,,,,,,,,,0.084,0.095,0.092,0.093,0.091,0.094,0.092,0.089,0.088,0.088,0.084,0.089,,,,,,,,,,,,
,2:09:31,34.1,,,,,,,,,,,,,0.084,0.096,0.093,0.094,0.093,0.095,0.092,0.089,0.088,0.089,0.084,0.089,,,,,,,,,,,,
,2:19:31,34.1,,,,,,,,,,,,,0.084,0.097,0.094,0.095,0.095,0.094,0.094,0.089,0.089,0.089,0.084,0.089,,,,,,,,,,,,
,2:29:31,34,,,,,,,,,,,,,0.084,0.098,0.095,0.096,0.095,0.095,0.095,0.089,0.09,0.09,0.084,0.089,,,,,,,,,,,,
,2:39:31,34,,,,,,,,,,,,,0.084,0.098,0.096,0.096,0.095,0.096,0.096,0.089,0.09,0.09,0.084,0.089,,,,,,,,,,,,
,2:49:31,34,,,,,,,,,,,,,0.084,0.099,0.096,0.097,0.096,0.098,0.097,0.09,0.09,0.091,0.084,0.089,,,,,,,,,,,,
,2:59:31,34,,,,,,,,,,,,,0.084,0.1,0.098,0.099,0.098,0.1,0.098,0.091,0.091,0.092,0.084,0.089,,,,,,,,,,,,
,3:09:31,34,,,,,,,,,,,,,0.084,0.101,0.099,0.101,0.1,0.101,0.1,0.092,0.092,0.093,0.084,0.089,,,,,,,,,,,,
,3:19:31,34.1,,,,,,,,,,,,,0.084,0.102,0.1,0.1,0.102,0.103,0.102,0.093,0.094,0.094,0.084,0.089,,,,,,,,,,,,
